state,station,MRI (yrs),R-squared,min wind threshold,coeff a,coeff b,coeff c,coeff d,min wind threshold,coeff a,coeff b,coeff c,coeff d
AL, KBFM,   1, 0.996,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.2760e-01,   3,  5.8319e-07, -9.2949e-05,  4.6792e-04,  1.2701e-01
AL, KBFM,   5, 0.997,   0,  4.7154e-07, -7.1223e-05, -2.3811e-04,  1.7128e-01,    ,            ,            ,            ,            
AL, KBFM,  10, 0.998,   0,  4.1729e-07, -6.3573e-05, -4.9857e-04,  1.9018e-01,    ,            ,            ,            ,            
AL, KBFM,  25, 0.998,   0,  3.5306e-07, -5.4880e-05, -8.1007e-04,  2.1503e-01,    ,            ,            ,            ,            
AL, KBFM,  50, 0.998,   0,  3.1126e-07, -4.9245e-05, -1.0243e-03,  2.3374e-01,    ,            ,            ,            ,            
AL, KBFM, 100, 0.998,   0,  2.7500e-07, -4.4294e-05, -1.2228e-03,  2.5240e-01,    ,            ,            ,            ,            
AL, KBFM, 500, 0.998,   0,  2.0860e-07, -3.4896e-05, -1.6354e-03,  2.9552e-01,    ,            ,            ,            ,            
AL, KBHM,   1, 0.994,   0,  3.4237e-07, -6.2507e-05, -6.2176e-04,  1.3233e-01,    ,            ,            ,            ,            
AL, KBHM,   5, 0.995,   0,  9.9813e-08, -2.4928e-05, -1.8978e-03,  1.7979e-01,    ,            ,            ,            ,            
AL, KBHM,  10, 0.995,   0,  4.2134e-08, -1.4502e-05, -2.3326e-03,  1.9986e-01,    ,            ,            ,            ,            
AL, KBHM,  25, 0.995,   0, -6.6347e-09, -4.2605e-06, -2.8265e-03,  2.2610e-01,    ,            ,            ,            ,            
AL, KBHM,  50, 0.996,   0, -3.0371e-08,  1.6271e-06, -3.1546e-03,  2.4576e-01,    ,            ,            ,            ,            
AL, KBHM, 100, 0.996,   0, -4.6984e-08,  6.3970e-06, -3.4537e-03,  2.6530e-01,    ,            ,            ,            ,            
AL, KBHM, 500, 0.997,   0, -6.9602e-08,  1.4620e-05, -4.0694e-03,  3.1031e-01,    ,            ,            ,            ,            
AL, KDHN,   1, 0.995,   0, -5.1644e-07, -2.0984e-05, -8.8300e-05,  1.2032e-01,    ,            ,            ,            ,            
AL, KDHN,   5, 0.995,   0,  1.0708e-08, -3.9981e-05, -2.5111e-05,  1.5989e-01,    ,            ,            ,            ,            
AL, KDHN,  10, 0.995,   0,  9.0047e-08, -4.2293e-05, -5.3179e-05,  1.7697e-01,    ,            ,            ,            ,            
AL, KDHN,  25, 0.995,   0,  1.4146e-07, -4.2971e-05, -1.1713e-04,  1.9958e-01,    ,            ,            ,            ,            
AL, KDHN,  50, 0.995,   0,  1.5729e-07, -4.2374e-05, -1.7979e-04,  2.1672e-01,    ,            ,            ,            ,            
AL, KDHN, 100, 0.995,   0,  1.6287e-07, -4.1320e-05, -2.4777e-04,  2.3387e-01,    ,            ,            ,            ,            
AL, KDHN, 500, 0.996,   0,  1.5809e-07, -3.8267e-05, -4.0855e-04,  2.7368e-01,    ,            ,            ,            ,            
AL, KEET,   1, 0.988,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.1657e-01,   2, -8.4301e-07, -3.7746e-05,  1.6828e-04,  1.1639e-01
AL, KEET,   5, 0.994,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.5500e-01,   1, -2.6479e-07, -4.4594e-05,  1.0196e-04,  1.5494e-01
AL, KEET,  10, 0.995,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.7131e-01,   1, -1.3369e-07, -4.7107e-05,  1.2998e-04,  1.7122e-01
AL, KEET,  25, 0.996,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.9278e-01,   2, -1.9684e-08, -4.9496e-05,  1.8148e-04,  1.9262e-01
AL, KEET,  50, 0.996,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  2.0900e-01,   2,  3.7398e-08, -5.0749e-05,  2.2591e-04,  2.0874e-01
AL, KEET, 100, 0.996,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  2.2520e-01,   3,  7.8002e-08, -5.1657e-05,  2.7302e-04,  2.2484e-01
AL, KEET, 500, 0.997,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  2.6285e-01,   4,  1.3343e-07, -5.2907e-05,  3.8859e-04,  2.6213e-01
AL, KGZH,   1, 0.994,   0,  7.1301e-08, -6.3157e-05, -2.2150e-04,  1.3088e-01,    ,            ,            ,            ,            
AL, KGZH,   5, 0.995,   0,  9.9689e-08, -4.2764e-05, -9.8465e-04,  1.7710e-01,    ,            ,            ,            ,            
AL, KGZH,  10, 0.995,   0,  9.8375e-08, -3.6984e-05, -1.2340e-03,  1.9669e-01,    ,            ,            ,            ,            
AL, KGZH,  25, 0.996,   0,  9.1421e-08, -3.0795e-05, -1.5218e-03,  2.2241e-01,    ,            ,            ,            ,            
AL, KGZH,  50, 0.996,   0,  8.4538e-08, -2.6914e-05, -1.7163e-03,  2.4177e-01,    ,            ,            ,            ,            
AL, KGZH, 100, 0.996,   0,  7.7323e-08, -2.3559e-05, -1.8957e-03,  2.6107e-01,    ,            ,            ,            ,            
AL, KGZH, 500, 0.996,   0,  6.1450e-08, -1.7274e-05, -2.2685e-03,  3.0567e-01,    ,            ,            ,            ,            
AL, KHSV,   1, 0.985,   0, -1.5427e-07, -2.5735e-05, -1.3155e-03,  1.2926e-01,    ,            ,            ,            ,            
AL, KHSV,   5, 0.986,   0, -5.7626e-07,  3.4647e-05, -3.1671e-03,  1.7733e-01,    ,            ,            ,            ,            
AL, KHSV,  10, 0.987,   0, -5.8501e-07,  4.4777e-05, -3.6612e-03,  1.9710e-01,    ,            ,            ,            ,            
AL, KHSV,  25, 0.989,   0, -5.5650e-07,  5.2357e-05, -4.1743e-03,  2.2271e-01,    ,            ,            ,            ,            
AL, KHSV,  50, 0.990,   0, -5.2492e-07,  5.5703e-05, -4.4969e-03,  2.4181e-01,    ,            ,            ,            ,            
AL, KHSV, 100, 0.991,   0, -4.9194e-07,  5.7893e-05, -4.7834e-03,  2.6074e-01,    ,            ,            ,            ,            
AL, KHSV, 500, 0.993,   0, -4.2160e-07,  6.0615e-05, -5.3633e-03,  3.0428e-01,    ,            ,            ,            ,            
AL, KMGM,   1, 0.994,   0,  3.1454e-07, -7.0829e-05, -3.0617e-04,  1.3003e-01,    ,            ,            ,            ,            
AL, KMGM,   5, 0.992,   0,  1.2163e-07, -3.4584e-05, -1.4815e-03,  1.7714e-01,    ,            ,            ,            ,            
AL, KMGM,  10, 0.992,   0,  7.7285e-08, -2.4887e-05, -1.8712e-03,  1.9709e-01,    ,            ,            ,            ,            
AL, KMGM,  25, 0.993,   0,  4.0040e-08, -1.5437e-05, -2.3103e-03,  2.2319e-01,    ,            ,            ,            ,            
AL, KMGM,  50, 0.993,   0,  2.1536e-08, -1.0001e-05, -2.6010e-03,  2.4278e-01,    ,            ,            ,            ,            
AL, KMGM, 100, 0.993,   0,  8.0040e-09, -5.5674e-06, -2.8660e-03,  2.6228e-01,    ,            ,            ,            ,            
AL, KMGM, 500, 0.994,   0, -1.2650e-08,  2.2194e-06, -3.4136e-03,  3.0726e-01,    ,            ,            ,            ,            
AL, KMOB,   1, 0.993,   0,  4.1508e-08, -6.5197e-05, -1.5247e-04,  1.4732e-01,    ,            ,            ,            ,            
AL, KMOB,   5, 0.993,   0, -1.7821e-07, -2.3168e-05, -1.3665e-03,  1.9916e-01,    ,            ,            ,            ,            
AL, KMOB,  10, 0.993,   0, -1.8185e-07, -1.5433e-05, -1.6757e-03,  2.2077e-01,    ,            ,            ,            ,            
AL, KMOB,  25, 0.994,   0, -1.6450e-07, -9.3888e-06, -1.9782e-03,  2.4889e-01,    ,            ,            ,            ,            
AL, KMOB,  50, 0.994,   0, -1.4524e-07, -6.7044e-06, -2.1536e-03,  2.6993e-01,    ,            ,            ,            ,            
AL, KMOB, 100, 0.994,   0, -1.2476e-07, -5.0323e-06, -2.2974e-03,  2.9082e-01,    ,            ,            ,            ,            
AL, KMOB, 500, 0.995,   0, -7.9921e-08, -3.4483e-06, -2.5519e-03,  3.3893e-01,    ,            ,            ,            ,            
AL, KTCL,   1, 0.997,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.1456e-01,   6, -9.4528e-07, -1.9372e-05,  3.3678e-04,  1.1344e-01
AL, KTCL,   5, 0.998,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.5267e-01,   8, -1.8811e-07, -4.7536e-05,  7.7830e-04,  1.4958e-01
AL, KTCL,  10, 0.998,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.6904e-01,   9, -4.7273e-08, -5.3179e-05,  9.1425e-04,  1.6514e-01
AL, KTCL,  25, 0.998,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.9069e-01,   9,  6.4963e-08, -5.7774e-05,  1.0667e-03,  1.8572e-01
AL, KTCL,  50, 0.999,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  2.0711e-01,  10,  1.1626e-07, -5.9881e-05,  1.1681e-03,  2.0130e-01
AL, KTCL, 100, 0.999,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  2.2356e-01,  11,  1.4974e-07, -6.1234e-05,  1.2615e-03,  2.1689e-01
AL, KTCL, 500, 0.999,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  2.6195e-01,  12,  1.8820e-07, -6.2654e-05,  1.4597e-03,  2.5312e-01
AR, KELD,   1, 0.996,   0, -8.1301e-07, -9.4248e-06, -4.3943e-04,  1.1181e-01,    ,            ,            ,            ,            
AR, KELD,   5, 0.996,   0, -3.7805e-07, -1.2797e-05, -6.5732e-04,  1.4974e-01,    ,            ,            ,            ,            
AR, KELD,  10, 0.997,   0, -2.9449e-07, -1.2498e-05, -7.3601e-04,  1.6591e-01,    ,            ,            ,            ,            
AR, KELD,  25, 0.997,   0, -2.2378e-07, -1.1572e-05, -8.2781e-04,  1.8718e-01,    ,            ,            ,            ,            
AR, KELD,  50, 0.997,   0, -1.8789e-07, -1.0724e-05, -8.8861e-04,  2.0322e-01,    ,            ,            ,            ,            
AR, KELD, 100, 0.997,   0, -1.6123e-07, -9.8631e-06, -9.4272e-04,  2.1922e-01,    ,            ,            ,            ,            
