state,stn,MRI (yrs),R-squared,f1 wspd min (kt),f1 wspd max (kt),f1 prcp min (in),f1 prcp max (in),f1 coeff a,f1 coeff b,f1 coeff c,f1 coeff d,f2 wspd min (kt),f2 wspd max (kt),f2 prcp min (in),f2 prcp max (in),f2 coeff a,f2 coeff b,f2 coeff c,f2 coeff d
AL, KBFM,   1, 0.994,  0.0000e+00,  3.0000e+00,  1.2731e-01,  1.2731e-01,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.2731e-01,  3.0000e+00,  5.6319e+01,  0.0000e+00,  1.2731e-01,  2.7188e-07, -6.1417e-05,  3.4477e-04,  1.2682e-01
AL, KBFM,   5, 0.992,  0.0000e+00,  7.1423e+01,  0.0000e+00,  1.7075e-01,  2.6027e-07, -4.9923e-05, -1.5273e-04,  1.7075e-01,            ,            ,            ,            ,            ,            ,            ,            
AL, KBFM,  10, 0.992,  0.0000e+00,  7.7849e+01,  0.0000e+00,  1.8961e-01,  2.3386e-07, -4.4893e-05, -3.5804e-04,  1.8961e-01,            ,            ,            ,            ,            ,            ,            ,            
AL, KBFM,  25, 0.992,  0.0000e+00,  8.6305e+01,  0.0000e+00,  2.1448e-01,  1.9931e-07, -3.8924e-05, -6.1037e-04,  2.1448e-01,            ,            ,            ,            ,            ,            ,            ,            
AL, KBFM,  50, 0.991,  0.0000e+00,  9.2679e+01,  0.0000e+00,  2.3323e-01,  1.7596e-07, -3.4979e-05, -7.8612e-04,  2.3323e-01,            ,            ,            ,            ,            ,            ,            ,            
AL, KBFM, 100, 0.991,  0.0000e+00,  9.9036e+01,  0.0000e+00,  2.5193e-01,  1.5545e-07, -3.1491e-05, -9.4975e-04,  2.5193e-01,            ,            ,            ,            ,            ,            ,            ,            
AL, KBFM, 500, 0.991,  0.0000e+00,  1.1378e+02,  0.0000e+00,  2.9517e-01,  1.1773e-07, -2.4857e-05, -1.2902e-03,  2.9517e-01,            ,            ,            ,            ,            ,            ,            ,            
AL, KBHM,   1, 0.992,  0.0000e+00,  5.3873e+01,  0.0000e+00,  1.3201e-01,  3.4601e-07, -5.3305e-05, -5.8292e-04,  1.3201e-01,            ,            ,            ,            ,            ,            ,            ,            
AL, KBHM,   5, 0.994,  0.0000e+00,  6.7655e+01,  0.0000e+00,  1.7988e-01,  7.3638e-08, -1.6518e-05, -1.8783e-03,  1.7988e-01,            ,            ,            ,            ,            ,            ,            ,            
AL, KBHM,  10, 0.995,  0.0000e+00,  7.3553e+01,  0.0000e+00,  1.9994e-01,  2.7459e-08, -7.9899e-06, -2.2792e-03,  1.9994e-01,            ,            ,            ,            ,            ,            ,            ,            
AL, KBHM,  25, 0.996,  0.0000e+00,  8.1337e+01,  0.0000e+00,  2.2611e-01, -8.8314e-09,  7.8821e-08, -2.7279e-03,  2.2611e-01,            ,            ,            ,            ,            ,            ,            ,            
AL, KBHM,  50, 0.996,  0.0000e+00,  8.7223e+01,  0.0000e+00,  2.4572e-01, -2.5943e-08,  4.6517e-06, -3.0255e-03,  2.4572e-01,            ,            ,            ,            ,            ,            ,            ,            
AL, KBHM, 100, 0.996,  0.0000e+00,  9.3110e+01,  0.0000e+00,  2.6521e-01, -3.7850e-08,  8.3502e-06, -3.2977e-03,  2.6521e-01,            ,            ,            ,            ,            ,            ,            ,            
AL, KBHM, 500, 0.997,  0.0000e+00,  1.0679e+02,  0.0000e+00,  3.1008e-01, -5.3869e-08,  1.4693e-05, -3.8585e-03,  3.1008e-01,            ,            ,            ,            ,            ,            ,            ,            
